t_adx,t_cci,x_thr,t_max,r_max,r_min,mean,sd
20,50,0.55,105,0.1,-0.5,0.0247657712707527,0.130371201391188
20,50,0.55,110,0.1,-0.5,0.0257806291510569,0.131270370900402
20,50,0.55,115,0.1,-0.5,0.0266083295967171,0.132262094671651
20,50,0.55,120,0.1,-0.5,0.026612022663261,0.134094392477738
20,50,0.6,100,0.1,-0.5,0.0230625423306386,0.130232004624099
20,50,0.6,105,0.1,-0.5,0.0246865527766271,0.130465032567046
20,50,0.6,110,0.1,-0.5,0.0256967055522893,0.131355842080949
20,50,0.6,115,0.1,-0.5,0.0265538289155059,0.132355419505615
20,50,0.6,120,0.1,-0.5,0.0266863762662218,0.134046378030648
20,55,0.4,100,0.1,-0.5,0.0225145247424116,0.130354964662287
20,55,0.4,105,0.1,-0.5,0.0238156432637369,0.130817803823066
20,55,0.4,110,0.1,-0.5,0.0247671731483247,0.131860759188939
20,55,0.4,115,0.1,-0.5,0.025703846166523,0.132766539666679
20,55,0.4,120,0.1,-0.5,0.0256773759590755,0.134573701707233
20,55,0.45,100,0.1,-0.5,0.0225739960059739,0.130298049531911
20,55,0.45,105,0.1,-0.5,0.0239779643181097,0.130695878138624
20,55,0.45,110,0.1,-0.5,0.0250361421222091,0.131644498706699
20,55,0.45,115,0.1,-0.5,0.0259312149143995,0.132598662588693
20,55,0.45,120,0.1,-0.5,0.0258923853256178,0.134463599037122
20,55,0.5,100,0.1,-0.5,0.0229813330740453,0.130098369223902
20,55,0.5,105,0.1,-0.5,0.0244443298293834,0.130459678001699
20,55,0.5,110,0.1,-0.5,0.0254788153004602,0.131397347517919
20,55,0.5,115,0.1,-0.5,0.0263636239672163,0.132395836037793
20,55,0.5,120,0.1,-0.5,0.0263298674986114,0.134200785947409
20,55,0.55,100,0.1,-0.5,0.0234382246856751,0.129895907102357
20,55,0.55,105,0.1,-0.5,0.0250301425070926,0.130124609625338
20,55,0.55,110,0.1,-0.5,0.0261334261086982,0.130973134973862
20,55,0.55,115,0.1,-0.5,0.0269076351117234,0.132037037677987
20,55,0.55,120,0.1,-0.5,0.0268484527899678,0.133895913239288
20,55,0.6,100,0.1,-0.5,0.0232960765266764,0.142722347557482
20,55,0.6,105,0.1,-0.5,0.0250906894682703,0.142845402838037
20,55,0.6,110,0.1,-0.5,0.0261896900075476,0.143630083827847
20,55,0.6,115,0.1,-0.5,0.0269811708986184,0.144660538240058
20,55,0.6,120,0.1,-0.5,0.027023595371811,0.146264001513888
20,60,0.4,100,0.1,-0.5,0.0226548281667346,0.13020618791967
20,60,0.4,105,0.1,-0.5,0.0239730266462258,0.130694217837028
20,60,0.4,110,0.1,-0.5,0.0249473194259786,0.131749781265745
20,60,0.4,115,0.1,-0.5,0.0258387525895109,0.132600502238767
20,60,0.4,120,0.1,-0.5,0.0257745856000622,0.134447272618123
20,60,0.45,100,0.1,-0.5,0.0228455273265915,0.130096936695024
20,60,0.45,105,0.1,-0.5,0.0242550248243272,0.130520938841353
