t_adx,t_cci,x_thr,t_max,r_max,r_min,mean,sd,t_mean,t_sd
10,55,0.55,120,0.09,-0.5,0.0248007648653623,0.127296631339126,53.3226364889559,46.2989491488751
10,55,0.55,125,0.09,-0.5,0.0259346459026964,0.127542711919039,54.2918512955314,48.0052548807974
10,55,0.6,110,0.09,-0.5,0.0245077009395647,0.124444759625691,50.7059262468708,42.6804796343855
10,55,0.6,115,0.09,-0.5,0.0252896947591361,0.125331056857244,51.8502407879015,44.4712079132671
10,55,0.6,120,0.09,-0.5,0.0253119999849978,0.126930294559809,53.0774721890061,46.2817081617366
10,55,0.6,125,0.09,-0.5,0.0265133113406393,0.127052172793142,54.040223612728,47.9822839354881
10,55,0.65,110,0.09,-0.5,0.0246197116800758,0.139585294080354,50.456243028492,42.6400432022916
10,55,0.65,115,0.09,-0.5,0.0254191866789438,0.140388818022603,51.5999392466586,44.4279378471212
10,55,0.65,120,0.09,-0.5,0.0254156811864304,0.141883162332216,52.822231433506,46.235197251807
10,55,0.65,125,0.09,-0.5,0.0266844347536279,0.141926960326092,53.7617376103002,47.9238500651097
10,55,0.7,110,0.09,-0.5,0.0250266424534099,0.141771137346638,50.2178208279119,42.6076878104529
10,55,0.7,115,0.09,-0.5,0.0256809918319507,0.142685709927362,51.3601726303585,44.3911787288852
10,55,0.7,120,0.09,-0.5,0.0255913600314205,0.144244825610838,52.5718383395643,46.1914918117483
10,55,0.7,125,0.09,-0.5,0.0269069508616538,0.14420906431644,53.4920378042465,47.8692118583753
10,55,0.75,110,0.09,-0.5,0.0249484437795033,0.144919374032162,50.0263067531477,42.6099530019869
10,55,0.75,115,0.09,-0.5,0.0254911269230141,0.145927055388094,51.1767979042775,44.4009467762265
10,55,0.75,120,0.09,-0.5,0.0253846985196342,0.1474675374508,52.3972985383026,46.209920564083
10,55,0.75,125,0.09,-0.5,0.0268192144042288,0.147342429908375,53.3133946928501,47.8893308007743
10,60,0.45,110,0.09,-0.5,0.0237625761935888,0.12468003210109,51.0951219074616,42.7528937950926
10,60,0.45,115,0.09,-0.5,0.0245531540405513,0.125514801740977,52.2640682905768,44.5574381089803
10,60,0.45,120,0.09,-0.5,0.0245495963436437,0.127226949454409,53.4931388438682,46.373237429895
10,60,0.45,125,0.09,-0.5,0.0256935847630727,0.127479441914365,54.4851314219603,48.0920531706973
10,60,0.5,110,0.09,-0.5,0.0242022645315543,0.124380338756224,50.9061965114323,42.7352943453864
10,60,0.5,115,0.09,-0.5,0.0249525892411017,0.125302289152391,52.0719408759486,44.5359183217483
10,60,0.5,120,0.09,-0.5,0.0249247880896976,0.127042634438687,53.302683704167,46.3497807355649
